source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp
4.68963050510989E+018,17.063013,17.416569,16.560081,0.8564873,0.35355568,0.5029316
4.6896305051099E+018,16.577723,18.075459,15.3858595,2.689599,1.497736,1.1918631
4.68963053946961E+018,17.155943,17.479803,16.663399,0.81640434,0.32386017,0.49254417
4.68963053946961E+018,18.83182,19.286188,18.34367,0.94251823,0.4543686,0.48814964
4.68963053946963E+018,17.986727,18.383093,17.482388,0.90070534,0.39636612,0.5043392
4.68963053946963E+018,17.68946,18.01325,17.243801,0.76944923,0.3237896,0.44565964
4.6896305695267E+018,18.139833,18.477148,17.62707,0.8500786,0.3373146,0.512764
4.68963056952671E+018,18.9543,19.381668,18.296244,1.0854244,0.42736816,0.65805626
4.68963056952671E+018,17.754782,18.075808,17.287615,0.78819275,0.32102585,0.4671669
4.68963056954007E+018,17.65458,17.972597,17.205902,0.766695,0.31801796,0.44867706
4.68963057382933E+018,17.877172,18.460403,17.18465,1.275753,0.583231,0.69252205
4.68963057382934E+018,18.638054,19.024616,18.123549,0.90106773,0.38656235,0.5145054
4.68963060388644E+018,18.360708,18.741077,17.8465,0.894577,0.3803692,0.51420784
4.68963060388645E+018,17.785484,18.109917,17.336477,0.7734394,0.32443237,0.44900703
4.68963060388645E+018,18.69197,19.097721,18.215685,0.8820362,0.40575027,0.47628593
4.68963060818907E+018,18.146008,18.464615,17.676775,0.7878399,0.31860733,0.46923256
4.68963060818907E+018,16.24104,17.001078,15.397984,1.6030941,0.7600384,0.8430557
4.68963060818908E+018,17.87642,18.561974,17.11482,1.4471531,0.6855545,0.7615986
4.68963060818908E+018,18.030268,18.394342,17.554064,0.8402786,0.3640747,0.47620392
4.68963060818909E+018,17.567251,18.135977,16.75398,1.3819962,0.5687256,0.81327057
4.68963063824618E+018,18.046356,18.32901,17.541595,0.78741455,0.2826538,0.50476074
4.68963063824619E+018,18.331682,18.679445,17.862295,0.8171501,0.34776306,0.46938705
4.68963063824619E+018,18.71379,19.105518,18.213295,0.89222336,0.39172745,0.5004959
4.68963063824619E+018,17.868456,18.409264,17.226225,1.1830387,0.5408077,0.642231
4.68963063824661E+018,17.75649,17.99414,17.183332,0.8108082,0.23764992,0.57315826
4.68963064254879E+018,18.002861,18.316416,17.568762,0.74765396,0.31355476,0.4340992
4.6896306425488E+018,15.848343,16.301592,15.236974,1.0646181,0.45324898,0.61136913
4.68963064254881E+018,18.81051,19.217106,18.244545,0.9725609,0.40659523,0.56596565
4.68963067260591E+018,18.363768,18.762918,17.92106,0.8418579,0.39915085,0.44270706
4.68963067260591E+018,18.94839,19.374207,18.411648,0.96255875,0.4258175,0.53674126
4.68963067260592E+018,18.577188,18.995117,18.082462,0.9126549,0.4179287,0.49472618
4.68963067690861E+018,18.452862,18.853998,17.985386,0.8686123,0.4011364,0.4674759
4.68963067690862E+018,18.519354,18.834866,18.054146,0.78071976,0.3155117,0.46520805
4.68963070696566E+018,18.465988,18.856825,17.93129,0.9255352,0.39083672,0.5346985
4.68963070696566E+018,18.392015,18.756483,17.937923,0.81855965,0.36446762,0.45409203
4.68963070696567E+018,18.33662,18.706808,17.861425,0.8453827,0.37018776,0.47519493
4.68963070696567E+018,18.642092,19.010359,18.188604,0.82175446,0.36826706,0.4534874
4.68963070696567E+018,18.773209,19.176342,18.261656,0.9146862,0.4031334,0.5115528
4.68963070696567E+018,18.483896,18.860168,17.949188,0.9109802,0.3762722,0.534708
4.68963070696609E+018,17.188028,17.527405,16.711565,0.81583977,0.33937645,0.47646332
4.68963070696609E+018,18.07588,18.423092,17.601261,0.82183075,0.34721184,0.4746189
4.68963070698043E+018,18.895424,19.36154,18.319448,1.0420914,0.46611595,0.5759754
4.68963070698709E+018,18.3457,18.581387,17.682037,0.8993492,0.23568726,0.66366196
4.6896307413254E+018,18.461384,18.855764,17.963087,0.8926773,0.39438057,0.49829674
4.68963074132541E+018,18.285055,18.63685,17.814741,0.8221092,0.3517952,0.47031403
4.68963074562805E+018,18.749655,19.174763,18.232557,0.9422054,0.42510796,0.5170975
4.68963074562806E+018,18.184814,18.449104,17.581997,0.8671074,0.26428986,0.60281754
4.68963077568515E+018,18.174355,18.498163,17.690804,0.8073597,0.32380867,0.48355103
4.68963077568515E+018,18.798933,19.224964,18.287725,0.9372387,0.4260311,0.5112076
4.68963077998776E+018,17.074947,17.42396,16.581766,0.8421936,0.34901237,0.49318123
4.68963077998777E+018,18.79921,19.123169,18.115395,1.0077744,0.32395935,0.683815
4.68963081004489E+018,18.674038,19.044535,18.15186,0.8926754,0.37049675,0.52217865
4.68963081434749E+018,17.152588,17.48076,16.666208,0.8145523,0.32817268,0.48637962
4.6896308143475E+018,17.51739,17.840748,17.06283,0.77791786,0.32335854,0.45455933
4.68963081434751E+018,17.43611,17.763369,16.96334,0.80002785,0.32725906,0.47276878
4.68963081434774E+018,17.434675,18.065443,16.69377,1.3716736,0.6307678,0.74090576
4.68963084440465E+018,18.786188,19.127111,18.214462,0.91264915,0.3409233,0.57172585
4.68963084870722E+018,17.920572,18.268442,17.454565,0.8138771,0.34786987,0.46600723
4.68963088305765E+018,18.079445,19.087204,17.071657,2.0155468,1.0077591,1.0077877
4.68963088306698E+018,17.607681,17.941908,17.140741,0.80116653,0.3342266,0.46693993
4.68963088306722E+018,18.224245,18.584557,17.653717,0.93083954,0.3603115,0.57052803
4.68963091312412E+018,18.543007,18.927736,18.020058,0.9076786,0.3847294,0.5229492
4.68963091313736E+018,18.792597,19.180693,18.287243,0.8934498,0.38809586,0.5053539
4.68963091741738E+018,18.063894,18.404505,17.571444,0.8330612,0.3406105,0.4924507
4.68963091742667E+018,15.565657,16.022696,14.9459,1.0767956,0.45703888,0.6197567
4.68963091742669E+018,17.520853,17.836468,17.055235,0.78123283,0.3156147,0.46561813
4.68963094748384E+018,18.839008,19.340828,18.15659,1.1842384,0.5018196,0.6824188
