source_id,teff_gspphot,logg_gspphot,mh_gspphot
4689626862965400704,,,
4689626862965404928,,,
4689626862975861248,,,
4689626893029601664,,,
4689626893044676224,,,
4689626897327305088,,,
4689626897335918592,,,
4689626897336882176,,,
4689626897336944128,,,
4689626897336944256,,,
4689626897336944896,,,
4689626897336946560,,,
4689626927404583936,,,
4689626927404603008,,,
4689626927404611968,,,
4689626927404616960,,,
4689626931684863360,,,
4689626931684864768,,,
4689626931684865408,,,
4689626931684870272,,,
4689626931684874880,,,
4689626931687000960,,,
4689626931687304448,,,
4689626931695296000,,,
4689626931695296128,,,
4689626931695299584,,,
4689626961764558464,,,
4689626961764559104,,,
4689626961772428544,,,
4689626961772447104,,,
4689626966055031040,,,
4689627034764033792,,,
4689627034764033920,,,
4689627034764034048,,,
4689627034766534400,,,
4689627064851952384,,,
4689627099223078272,,,
4689627099223081600,,,
4689627133569750144,,,
4689627137844116864,,,
4689627137844125952,,,
4689627137844127360,,,
4689627137844131072,,,
4689627137844135936,,,
4689627137844140416,,,
4689627137844142976,,,
4689627137844143360,,,
4689627137844147968,,,
4689627137844148352,,,
4689627137844214144,,,
4689627137844214528,,,
4689627137844221952,,,
4689627137844226176,,,
4689627137855088128,,,
4689627137855089920,,,
4689627167921934208,,,
4689627167929097088,,,
4689627167942029440,,,
4689627167942030592,,,
4689627172203885952,,,
4689627172203888256,,,
4689627172203927680,,,
4689627172219890304,,,
4689627172219902336,,,
4689627172219916416,,,
4689627172219918592,,,
4689627172219919104,,,
4689627202289194240,,,
4689627202289195136,,,
4689627202289198464,,,
4689627202289198720,,,
4689627202289201024,,,
4689627202289235840,,,
4689627202289238144,,,
4689627202289238912,,,
4689627202289240704,,,
4689627202289242880,,,
4689627202289244160,,,
4689627202289693568,,,
4689627206564335872,,,
4689627206564340480,,,
4689627206564340608,,,
4689627206565049088,,,
4689627206573632384,,,
4689627206573633024,,,
4689627206573633920,,,
4689627206573649408,,,
4689627206573649536,,,
4689627206573678336,,,
4689627236649027328,,,
4689627236649030144,,,
4689627236649030912,,,
4689627236649051904,,,
4689627236649053056,,,
4689627236649060352,,,
4689627236649089408,,,
4689627236649091840,,,
